id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_011,Homestyle Pork Loin & Pumpkin Puree Bake,Dog,Baby,"Pork Loin, Pumpkin Puree, Celery, Spinach, Carrots, Coconut Oil","161g, 79g, 22g, 30g, 23g, 12g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Spinach, Carrots) so they are easily digestible. | Mix the cooked Pork Loin, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",163,13.9,10.7,2.8,"Thiamine, Vitamin E, Vitamin D3, Vitamin B12","Copper, Phosphorus",20 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-homestyle-pork-loin-and-pumpkin-puree-bake
DOG_012,Nutrient-Rich Tofu & Oatmeal Puree topper,Dog,Senior,"Tofu, Oatmeal, Peas, Zucchini, Coconut Oil","122g, 109g, 31g, 33g, 11g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Zucchini) so they are easily digestible. | Mix the cooked Tofu, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",210,9.9,8.0,26.0,"Riboflavin, Thiamine, Vitamin A, Vitamin C","Copper, Magnesium, Calcium, Potassium",20 mins,Easy,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-nutrient-rich-tofu-and-oatmeal-puree-topper
DOG_013,Savory Lamb Lean & Sweet Potato Bake,Dog,Baby,"Lamb Lean, Sweet Potato, Green Beans, Zucchini, Celery, Coconut Oil","166g, 136g, 43g, 74g, 49g, 5g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Zucchini, Celery) so they are easily digestible. | Mix the cooked Lamb Lean, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",143,9.7,8.5,7.2,"Thiamine, Niacin, Folic Acid, Vitamin D3","Calcium, Selenium, Manganese, Copper",25 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-sweet-potato-bake
DOG_014,Slow-Cooked Cod Fillet & Brown Rice Stew,Dog,Senior,"Cod Fillet, Brown Rice, Celery, Salmon Oil","126g, 102g, 70g, 12g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Cod Fillet, Brown Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",108,8.3,4.5,8.2,"Folic Acid, Riboflavin","Copper, Calcium",25 mins,Easy,"Digestive Health, General Wellness","Digestive Health Support, General Wellness Support",https://pawfeed.ai/recipes/dog-slow-cooked-cod-fillet-and-brown-rice-stew
DOG_015,Nutrient-Rich Egg & Oatmeal Puree topper,Dog,Baby,"Egg, Oatmeal, Peas, Carrots, Salmon Oil","227g, 92g, 34g, 37g, 8g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Carrots) so they are easily digestible. | Mix the cooked Egg, Oatmeal, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",207,11.9,9.9,18.0,"Vitamin E, Niacin","Calcium, Manganese",30 mins,Medium,"Puppy/Kitten, Senior Pet","Puppy/Kitten Support, Senior Pet Support",https://pawfeed.ai/recipes/dog-nutrient-rich-egg-and-oatmeal-puree-topper
DOG_016,Nutrient-Rich Turkey Breast & Sweet Potato Loaf,Dog,Senior,"Turkey Breast, Sweet Potato, Green Beans, Carrots, Coconut Oil","167g, 146g, 57g, 70g, 5g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Carrots) so they are easily digestible. | Mix the cooked Turkey Breast, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",99,12.2,1.8,9.0,"Vitamin B12, Vitamin C, Thiamine, Vitamin A","Calcium, Potassium",30 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-nutrient-rich-turkey-breast-and-sweet-potato-loaf
DOG_017,Fresh & Healthy Pork Loin & Potato Bite-Sized Dinner,Dog,Adult,"Pork Loin, Potato, Carrots, Olive Oil","122g, 67g, 80g, 10g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Pork Loin, Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",168,12.5,9.8,6.8,"Riboflavin, Vitamin B12, Vitamin C","Copper, Manganese",20 mins,Medium,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-fresh-and-healthy-pork-loin-and-potato-bite-sized-dinner
DOG_018,Wholesome Salmon Fillet & Quinoa Loaf,Dog,Senior,"Salmon Fillet, Quinoa, Green Beans, Spinach, Broccoli, Olive Oil","141g, 93g, 27g, 34g, 27g, 13g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Spinach, Broccoli) so they are easily digestible. | Mix the cooked Salmon Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",163,10.3,10.0,7.3,"Thiamine, Folic Acid, Niacin, Vitamin B12","Manganese, Copper",15 mins,Medium,"Senior Pet, Weight Management","Senior Pet Support, Weight Management Support",https://pawfeed.ai/recipes/dog-wholesome-salmon-fillet-and-quinoa-loaf
DOG_019,Hearty Salmon Fillet & Pumpkin Puree Bake,Dog,Baby,"Salmon Fillet, Pumpkin Puree, Carrots, Spinach, Peas, Flaxseed Oil","164g, 148g, 29g, 64g, 75g, 15g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Spinach, Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",121,8.2,7.5,5.1,"Vitamin A, Thiamine, Vitamin B12, Vitamin E","Phosphorus, Zinc, Copper, Magnesium",20 mins,Easy,"Joint Health, High Protein","Joint Health Support, High Protein Support",https://pawfeed.ai/recipes/dog-hearty-salmon-fillet-and-pumpkin-puree-bake
DOG_020,Savory Salmon Fillet & White Rice Puree topper,Dog,Senior,"Salmon Fillet, White Rice, Zucchini, Salmon Oil","222g, 114g, 66g, 14g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Salmon Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",180,11.6,10.4,8.2,"Vitamin A, Riboflavin, Niacin","Iron, Calcium, Zinc",25 mins,Easy,"Weight Management, Puppy/Kitten","Weight Management Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-savory-salmon-fillet-and-white-rice-puree-topper
DOG_021,Hearty Cod Fillet & Brown Rice Bake,Dog,Senior,"Cod Fillet, Brown Rice, Spinach, Coconut Oil","150g, 52g, 25g, 5g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach) so they are easily digestible. | Mix the cooked Cod Fillet, Brown Rice, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",99,12.5,2.9,5.5,"Vitamin B12, Vitamin A, Niacin, Vitamin E","Manganese, Calcium, Copper, Magnesium",15 mins,Medium,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/dog-hearty-cod-fillet-and-brown-rice-bake
DOG_022,Homestyle Salmon Fillet & Sweet Potato Loaf,Dog,Senior,"Salmon Fillet, Sweet Potato, Carrots, Celery, Peas, Coconut Oil","174g, 97g, 32g, 29g, 33g, 12g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Celery, Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",157,10.2,9.3,7.4,"Folic Acid, Vitamin D3, Vitamin E","Manganese, Calcium, Phosphorus",25 mins,Easy,"Skin & Coat, General Wellness","Skin & Coat Support, General Wellness Support",https://pawfeed.ai/recipes/dog-homestyle-salmon-fillet-and-sweet-potato-loaf
DOG_023,Nutrient-Rich Salmon Fillet & Barley Loaf,Dog,Adult,"Salmon Fillet, Barley, Zucchini, Celery, Olive Oil","216g, 124g, 70g, 63g, 14g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Celery) so they are easily digestible. | Mix the cooked Salmon Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",212,12.3,9.3,19.4,"Vitamin A, Thiamine, Riboflavin, Niacin","Iron, Potassium",15 mins,Medium,"Skin & Coat, Weight Management","Skin & Coat Support, Weight Management Support",https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-barley-loaf
DOG_024,Premium Egg & Oatmeal Puree topper,Dog,Adult,"Egg, Oatmeal, Carrots, Flaxseed Oil","147g, 79g, 53g, 6g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Egg, Oatmeal, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",214,11.6,9.7,20.6,"Niacin, Folic Acid, Riboflavin","Iron, Calcium",30 mins,Easy,"Digestive Health, High Protein","Digestive Health Support, High Protein Support",https://pawfeed.ai/recipes/dog-premium-egg-and-oatmeal-puree-topper
DOG_025,Nutrient-Rich Lamb Lean & Quinoa Skillet Mix,Dog,Senior,"Lamb Lean, Quinoa, Zucchini, Broccoli, Spinach, Salmon Oil","229g, 55g, 50g, 59g, 31g, 10g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Broccoli, Spinach) so they are easily digestible. | Mix the cooked Lamb Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",197,14.5,13.7,4.2,"Vitamin C, Riboflavin, Folic Acid","Potassium, Magnesium, Phosphorus",30 mins,Medium,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/dog-nutrient-rich-lamb-lean-and-quinoa-skillet-mix
DOG_026,Wholesome Salmon Fillet & Barley Bake,Dog,Senior,"Salmon Fillet, Barley, Broccoli, Peas, Coconut Oil","112g, 77g, 64g, 29g, 7g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",211,12.2,8.2,22.4,"Vitamin D3, Thiamine, Vitamin A","Selenium, Calcium, Phosphorus",15 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-wholesome-salmon-fillet-and-barley-bake
DOG_027,Hearty Venison & Brown Rice Bite-Sized Dinner,Dog,Baby,"Venison, Brown Rice, Green Beans, Carrots, Spinach, Olive Oil","142g, 90g, 44g, 74g, 80g, 6g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Carrots, Spinach) so they are easily digestible. | Mix the cooked Venison, Brown Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",98,11.2,2.7,7.7,"Thiamine, Vitamin B12, Niacin, Vitamin E","Calcium, Zinc",30 mins,Easy,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-hearty-venison-and-brown-rice-bite-sized-dinner
DOG_028,Fresh & Healthy Venison & Oatmeal Bake,Dog,Senior,"Venison, Oatmeal, Spinach, Peas, Broccoli, Coconut Oil","102g, 99g, 23g, 36g, 70g, 14g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Peas, Broccoli) so they are easily digestible. | Mix the cooked Venison, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",208,15.1,7.1,22.1,"Vitamin D3, Riboflavin, Vitamin A, Folic Acid","Magnesium, Iron, Calcium",20 mins,Medium,"Digestive Health, Puppy/Kitten","Digestive Health Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-venison-and-oatmeal-bake
DOG_029,Slow-Cooked Egg & White Rice Skillet Mix,Dog,Baby,"Egg, White Rice, Green Beans, Olive Oil","150g, 94g, 39g, 8g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Egg, White Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",150,7.8,8.5,10.5,"Vitamin A, Vitamin B12, Niacin, Vitamin E","Phosphorus, Calcium, Magnesium, Copper",15 mins,Easy,"Digestive Health, General Wellness","Digestive Health Support, General Wellness Support",https://pawfeed.ai/recipes/dog-slow-cooked-egg-and-white-rice-skillet-mix
DOG_030,Nutrient-Rich Turkey Breast & Potato Skillet Mix,Dog,Adult,"Turkey Breast, Potato, Peas, Zucchini, Coconut Oil","104g, 117g, 32g, 39g, 8g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Zucchini) so they are easily digestible. | Mix the cooked Turkey Breast, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",111,11.9,3.3,8.5,"Vitamin B12, Thiamine, Vitamin A","Copper, Iron",15 mins,Medium,"General Wellness, Joint Health","General Wellness Support, Joint Health Support",https://pawfeed.ai/recipes/dog-nutrient-rich-turkey-breast-and-potato-skillet-mix
DOG_031,Savory Venison & Pumpkin Puree Bite-Sized Dinner,Dog,Adult,"Venison, Pumpkin Puree, Carrots, Broccoli, Coconut Oil","138g, 137g, 30g, 59g, 14g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Broccoli) so they are easily digestible. | Mix the cooked Venison, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",105,11.8,4.9,4.2,"Vitamin B12, Vitamin C","Calcium, Selenium",20 mins,Easy,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-savory-venison-and-pumpkin-puree-bite-sized-dinner
DOG_032,Premium Tofu & Quinoa Stew,Dog,Baby,"Tofu, Quinoa, Green Beans, Celery, Broccoli, Flaxseed Oil","138g, 66g, 39g, 33g, 44g, 9g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Celery, Broccoli) so they are easily digestible. | Mix the cooked Tofu, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",90,4.9,5.2,7.1,"Vitamin C, Vitamin D3, Vitamin B12","Zinc, Selenium, Manganese",30 mins,Medium,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-premium-tofu-and-quinoa-stew
DOG_033,Nutrient-Rich Beef Lean & Sweet Potato Bake,Dog,Adult,"Beef Lean, Sweet Potato, Green Beans, Spinach, Flaxseed Oil","219g, 131g, 46g, 28g, 9g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Spinach) so they are easily digestible. | Mix the cooked Beef Lean, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",176,14.0,9.7,7.0,"Folic Acid, Riboflavin","Magnesium, Iron, Calcium, Selenium",15 mins,Easy,"Joint Health, Weight Management","Joint Health Support, Weight Management Support",https://pawfeed.ai/recipes/dog-nutrient-rich-beef-lean-and-sweet-potato-bake
DOG_034,Premium Turkey Breast & Pumpkin Puree Skillet Mix,Dog,Senior,"Turkey Breast, Pumpkin Puree, Spinach, Celery, Salmon Oil","102g, 56g, 40g, 73g, 8g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Celery) so they are easily digestible. | Mix the cooked Turkey Breast, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",88,11.8,3.5,2.6,"Vitamin D3, Vitamin A","Magnesium, Copper, Manganese",30 mins,Medium,"Weight Management, Senior Pet","Weight Management Support, Senior Pet Support",https://pawfeed.ai/recipes/dog-premium-turkey-breast-and-pumpkin-puree-skillet-mix
DOG_035,Premium Turkey Breast & Potato Puree topper,Dog,Adult,"Turkey Breast, Potato, Zucchini, Celery, Flaxseed Oil","131g, 117g, 51g, 71g, 12g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Celery) so they are easily digestible. | Mix the cooked Turkey Breast, Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",103,11.2,3.8,6.2,"Vitamin A, Thiamine, Riboflavin","Potassium, Selenium, Iron, Calcium",20 mins,Medium,"Puppy/Kitten, High Protein","Puppy/Kitten Support, High Protein Support",https://pawfeed.ai/recipes/dog-premium-turkey-breast-and-potato-puree-topper
DOG_036,Nutrient-Rich Venison & Potato Stew,Dog,Baby,"Venison, Potato, Celery, Peas, Olive Oil","182g, 125g, 36g, 59g, 12g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Peas) so they are easily digestible. | Mix the cooked Venison, Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",128,14.6,4.3,7.4,"Folic Acid, Vitamin B12, Vitamin D3","Zinc, Calcium, Potassium",25 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-nutrient-rich-venison-and-potato-stew
